[PERF] units H:19 E:27 | tick avg 0.42ms max 5.65ms (n=300) | move 40.6ms | target 0.1ms (48 calls) | path 0.4ms max 0.35ms (1 calls) | fog 48.2ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:20 E:27 | tick avg 0.45ms max 6.00ms (n=299) | move 41.5ms | target 0.1ms (29 calls) | path 0.3ms max 0.35ms (1 calls) | fog 53.4ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:20 E:30 | tick avg 0.51ms max 6.43ms (n=300) | move 48.1ms | target 0.1ms (57 calls) | path 1.8ms max 0.40ms (5 calls) | fog 55.1ms | minimap 0.2ms | ai 1.0ms | window 5.0s
[PERF] units H:22 E:30 | tick avg 0.65ms max 6.10ms (n=300) | move 41.9ms | target 0.1ms (54 calls) | path 0.0ms max 0.00ms (0 calls) | fog 53.7ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:22 E:30 | tick avg 0.62ms max 6.16ms (n=300) | move 38.4ms | target 0.1ms (37 calls) | path 0.0ms max 0.00ms (0 calls) | fog 48.9ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:22 E:30 | tick avg 0.63ms max 6.09ms (n=300) | move 38.7ms | target 0.1ms (53 calls) | path 0.0ms max 0.00ms (0 calls) | fog 53.7ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:24 E:30 | tick avg 0.62ms max 6.34ms (n=301) | move 43.0ms | target 0.1ms (41 calls) | path 0.0ms max 0.00ms (0 calls) | fog 54.7ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:24 E:30 | tick avg 0.52ms max 6.29ms (n=300) | move 65.3ms | target 0.1ms (53 calls) | path 9.9ms max 5.25ms (4 calls) | fog 50.7ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:24 E:32 | tick avg 0.56ms max 5.87ms (n=300) | move 75.2ms | target 0.1ms (63 calls) | path 31.1ms max 4.09ms (15 calls) | fog 54.9ms | minimap 0.2ms | ai 0.6ms | window 5.0s
[PERF] units H:25 E:32 | tick avg 0.59ms max 6.13ms (n=300) | move 78.6ms | target 0.1ms (44 calls) | path 29.6ms max 3.19ms (12 calls) | fog 55.0ms | minimap 0.2ms | ai 0.2ms | window 5.0s
